scorer,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,b4,b4,b4,b5,b5,b5,b6,b6,b6,b7,b7,b7,b8,b8,b8,lhoof,lhoof,lhoof,rhoof,rhoof,rhoof,hind_lhoof,hind_lhoof,hind_lhoof,hind_rhoof,hind_rhoof,hind_rhoof
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1.263902187347412,3.4799803495407104,0.02165498398244381,4.0882125571370125,0.8715989589691162,0.03568815067410469,1.2401823997497559,1.3636209964752197,0.021094512194395065,0.9740779399871826,0.5147461891174316,0.04463870823383331,1.703186273574829,1.5186107158660889,0.04495634883642197,1.2696359157562256,5.685389161109924,0.019535677507519722,1.1683831214904785,1.7909843921661377,0.12086720019578934,1.3567583560943604,1.854440689086914,0.06346409767866135,3.255142390727997,4.595570921897888,0.02573131024837494,-2.4656877517700195,5.535760879516602,0.024916047230362892,1.3119902610778809,3.1730892658233643,0.04187433421611786,1.8763680458068848,4.709271192550659,0.02458147332072258
1,1.263902187347412,3.4799803495407104,0.02165498398244381,4.0882125571370125,0.8715989589691162,0.03568815067410469,1.2401823997497559,1.3636209964752197,0.021094512194395065,0.9740779399871826,0.5147461891174316,0.04463870823383331,1.703186273574829,1.5186107158660889,0.04495634883642197,1.2696359157562256,5.685389161109924,0.019535677507519722,1.1683831214904785,1.7909843921661377,0.12086720019578934,1.3567583560943604,1.854440689086914,0.06346409767866135,3.255142390727997,4.595570921897888,0.02573131024837494,-2.4656877517700195,5.535760879516602,0.024916047230362892,1.3119902610778809,3.1730892658233643,0.04187433421611786,1.8763680458068848,4.709271192550659,0.02458147332072258
2,1.263902187347412,3.4799803495407104,0.02165498398244381,4.0882125571370125,0.8715989589691162,0.03568815067410469,1.2401823997497559,1.3636209964752197,0.021094512194395065,0.9740779399871826,0.5147461891174316,0.04463870823383331,1.703186273574829,1.5186107158660889,0.04495634883642197,1.2696359157562256,5.685389161109924,0.019535677507519722,1.1683831214904785,1.7909843921661377,0.12086720019578934,1.3567583560943604,1.854440689086914,0.06346409767866135,3.255142390727997,4.595570921897888,0.02573131024837494,-2.4656877517700195,5.535760879516602,0.024916047230362892,1.3119902610778809,3.1730892658233643,0.04187433421611786,1.8763680458068848,4.709271192550659,0.02458147332072258
3,1.2639200687408447,3.4799803495407104,0.02165336161851883,4.0882125571370125,0.8715989589691162,0.03568622097373009,1.2401580810546875,1.3635179996490479,0.02109377458691597,0.9740779399871826,0.5147461891174316,0.04463774338364601,1.7031464576721191,1.518629789352417,0.044955313205718994,1.2695541381835938,5.685347199440002,0.01953469030559063,1.1683831214904785,1.7910537719726562,0.12086648494005203,1.3567583560943604,1.854440689086914,0.06346213817596436,3.255142390727997,4.595568418502808,0.025730229914188385,-2.4656906127929688,5.535760879516602,0.024915166199207306,1.3119902610778809,3.1730892658233643,0.0418742336332798,1.8763680458068848,4.709271192550659,0.024581341072916985
4,1.2639920711517334,3.4799755811691284,0.02164139598608017,4.0882125571370125,0.8715453147888184,0.03567139059305191,1.240058183670044,1.3635179996490479,0.02109205722808838,0.9740242958068848,0.5147161483764648,0.04461998865008354,1.703120231628418,1.518629789352417,0.04492736607789993,1.2694268226623535,5.685347199440002,0.01952618919312954,1.1683831214904785,1.7910537719726562,0.1207980364561081,1.3566992282867432,1.854440689086914,0.06342542171478271,3.2549924850463867,4.595349431037903,0.02572028338909149,-2.465900421142578,5.535734295845032,0.02490008808672428,1.3119902610778809,3.173120856285095,0.04186110198497772,1.8763723373413086,4.708981096744537,0.024576691910624504
5,1.2640881538391113,3.4799755811691284,0.02164417691528797,4.0881532356143,0.8715453147888184,0.03566918522119522,1.240058183670044,1.3635179996490479,0.021086426451802254,0.9739742279052734,0.5147144794464111,0.044622261077165604,1.703117847442627,1.518629789352417,0.044933732599020004,1.2691984176635742,5.685347199440002,0.01952444575726986,1.1682157516479492,1.7911567687988281,0.1208178848028183,1.3565847873687744,1.8543477058410645,0.0634365901350975,3.2549924850463867,4.5950963497161865,0.025718769058585167,-2.466165065765381,5.535734295845032,0.024901187047362328,1.3119797706604004,3.173127591609955,0.04186394810676575,1.8763723373413086,4.708862900733948,0.02457289770245552
6,1.2641661167144775,3.4803203344345093,0.021650750190019608,4.088150337338448,0.8715412616729736,0.03567906841635704,1.240058183670044,1.3635764122009277,0.02109081670641899,0.9739742279052734,0.5146992206573486,0.04462907835841179,1.702956199645996,1.518575668334961,0.044943299144506454,1.2690517902374268,5.685466408729553,0.01952970400452614,1.1681241989135742,1.791301965713501,0.12084021419286728,1.3565089702606201,1.8542542457580566,0.06345297396183014,3.2549924850463867,4.594918489456177,0.025724606588482857,-2.466165065765381,5.535773396492004,0.024910127744078636,1.3119797706604004,3.173158645629883,0.04186621680855751,1.8763911724090576,4.708862900733948,0.024576442316174507
7,1.2641661167144775,3.480492651462555,0.02164979837834835,4.08811093121767,0.8715410232543945,0.0356721393764019,1.2402887344360352,1.3636128902435303,0.021083729341626167,0.9739043712615967,0.5146489143371582,0.044597819447517395,1.7028882503509521,1.5185613632202148,0.04492517560720444,1.2688496112823486,5.685466408729553,0.01952187344431877,1.1680257320404053,1.791414737701416,0.120785191655159,1.356344223022461,1.8542542457580566,0.06343385577201843,3.2553409934043884,4.594918489456177,0.025720927864313126,-2.4661145210266113,5.535773396492004,0.024898653849959373,1.3119797706604004,3.173161566257477,0.04185986518859863,1.8763911724090576,4.708862900733948,0.02457231655716896
8,1.2641661167144775,3.4805955290794373,0.02165481261909008,4.0879483968019485,0.8715412616729736,0.035687632858753204,1.2404565811157227,1.3636715412139893,0.021091733127832413,0.9739043712615967,0.5145878791809082,0.044611457735300064,1.7026946544647217,1.5185613632202148,0.04494880139827728,1.2687053680419922,5.685527086257935,0.019534526392817497,1.1680257320404053,1.7916350364685059,0.12082094699144363,1.3565089702606201,1.8542542457580566,0.06345400214195251,3.2553409934043884,4.594913423061371,0.025731930509209633,-2.4661145210266113,5.535773396492004,0.024911893531680107,1.312016248703003,3.173466980457306,0.0418822355568409,1.8763911724090576,4.708981096744537,0.024583850055933
