scorer,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,b4,b4,b4,b5,b5,b5,b6,b6,b6,b7,b7,b7,b8,b8,b8,lhoof,lhoof,lhoof,rhoof,rhoof,rhoof,hind_lhoof,hind_lhoof,hind_lhoof,hind_rhoof,hind_rhoof,hind_rhoof
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1.2101244926452637,3.4618594646453857,0.023828517645597458,4.218941241502762,0.9913475513458252,0.036807652562856674,1.3593802452087402,1.4322104454040527,0.02214616909623146,1.0317106246948242,0.6636404991149902,0.0425492562353611,1.7389888763427734,1.6452162265777588,0.04691041633486748,1.1779553890228271,5.778667092323303,0.019622018560767174,1.2365996837615967,1.8178491592407227,0.12321308255195618,1.4290332794189453,1.9612672328948975,0.06432385742664337,3.2609155774116516,4.555371403694153,0.028599999845027924,-2.5516343116760254,5.545697212219238,0.026241034269332886,1.2389745712280273,3.1900039315223694,0.043652936816215515,1.6689774990081787,4.698916077613831,0.02615712583065033
1,1.2101244926452637,3.4618594646453857,0.023828770965337753,4.21907103061676,0.9913475513458252,0.03680811822414398,1.3593802452087402,1.4322104454040527,0.022148126736283302,1.0317106246948242,0.6636404991149902,0.042554210871458054,1.7389888763427734,1.6452162265777588,0.04691401869058609,1.1779553890228271,5.778716802597046,0.019624385982751846,1.2366158962249756,1.8178491592407227,0.12321819365024567,1.4290332794189453,1.9612672328948975,0.06432900577783585,3.2609909176826477,4.55546897649765,0.028601491823792458,-2.5516343116760254,5.545697212219238,0.02624334953725338,1.2389745712280273,3.1900039315223694,0.04365589842200279,1.668978214263916,4.698982238769531,0.026157956570386887
2,1.2101244926452637,3.4618594646453857,0.02382816933095455,4.2191014885902405,0.9913475513458252,0.036807265132665634,1.3593802452087402,1.4322104454040527,0.022147389128804207,1.031712532043457,0.6636404991149902,0.04255110025405884,1.7389955520629883,1.6452162265777588,0.04691241309046745,1.1780152320861816,5.778716802597046,0.01962369680404663,1.2366623878479004,1.8178491592407227,0.1232135221362114,1.4290332794189453,1.9612672328948975,0.06433051079511642,3.2609909176826477,4.55546897649765,0.02860078401863575,-2.5516343116760254,5.545697212219238,0.026244036853313446,1.239034652709961,3.1900039315223694,0.04365629702806473,1.6689972877502441,4.698982238769531,0.026158006861805916
3,1.2101244926452637,3.4618594646453857,0.02378254197537899,4.219719842076302,0.9913496971130371,0.03680139780044556,1.3593802452087402,1.4322123527526855,0.02210197038948536,1.031712532043457,0.6636784076690674,0.04275473579764366,1.7390344142913818,1.6452794075012207,0.047015268355607986,1.1781151294708252,5.778716802597046,0.019624605774879456,1.237027883529663,1.8178491592407227,0.12347573786973953,1.4287083148956299,1.9612672328948975,0.06430961936712265,3.2610814571380615,4.55546897649765,0.02857179380953312,-2.5513620376586914,5.545499205589294,0.026250731199979782,1.2390718460083008,3.1898708939552307,0.043672267347574234,1.6694235801696777,4.698982238769531,0.026143614202737808
4,1.2065942287445068,3.4582868218421936,0.023708876222372055,4.2204649448394775,0.9837174415588379,0.036760661751031876,1.358306884765625,1.429304838180542,0.022133121266961098,1.031712532043457,0.6605949401855469,0.04249122738838196,1.7390344142913818,1.6445484161376953,0.0468376986682415,1.1782526969909668,5.77838134765625,0.01954610086977482,1.2393109798431396,1.8127076625823975,0.12292733043432236,1.4287083148956299,1.9592020511627197,0.06401445716619492,3.2610814571380615,4.555426120758057,0.028480691835284233,-2.547926425933838,5.5442222356796265,0.026219062507152557,1.2391273975372314,3.1835493445396423,0.04363245889544487,1.6710412502288818,4.698803007602692,0.02618877962231636
5,1.2065942287445068,3.4582868218421936,0.023842239752411842,4.220730721950531,0.9837174415588379,0.03682507947087288,1.358306884765625,1.429304838180542,0.022155093029141426,1.0314507484436035,0.6605949401855469,0.04256441816687584,1.7407197952270508,1.643388032913208,0.04693718999624252,1.1791560649871826,5.77838134765625,0.019634021446108818,1.2423832416534424,1.8127076625823975,0.1232360377907753,1.4260997772216797,1.9592020511627197,0.06435461342334747,3.2609521746635437,4.555426120758057,0.028615400195121765,-2.547926425933838,5.5442222356796265,0.026248181238770485,1.2391273975372314,3.1835493445396423,0.04367290809750557,1.6710412502288818,4.698803007602692,0.026166854426264763
6,1.2102599143981934,3.4597949385643005,0.023711787536740303,4.220730721950531,0.990070104598999,0.03675156831741333,1.3597071170806885,1.4296681880950928,0.022141188383102417,1.0314507484436035,0.6638894081115723,0.042454130947589874,1.7407197952270508,1.643388032913208,0.04681772366166115,1.1796424388885498,5.77838134765625,0.01954616606235504,1.2425689697265625,1.8179075717926025,0.12290966510772705,1.4260997772216797,1.9612929821014404,0.06404285132884979,3.2580549120903015,4.555426120758057,0.028500793501734734,-2.5513620376586914,5.545499205589294,0.026207711547613144,1.2391273975372314,3.1844173669815063,0.043625690042972565,1.6694235801696777,4.698803007602692,0.02619102969765663
7,1.2102599143981934,3.4597949385643005,0.023770101368427277,4.224492102861404,0.990070104598999,0.03669340908527374,1.3597071170806885,1.4296681880950928,0.022144868969917297,1.030946969985962,0.6664235591888428,0.042836014181375504,1.7407197952270508,1.6389727592468262,0.04696639999747276,1.1813960075378418,5.784860134124756,0.019584840163588524,1.2436223030090332,1.8179075717926025,0.1236967071890831,1.4232590198516846,1.9705312252044678,0.06439390033483505,3.2563167810440063,4.560358226299286,0.028545869514346123,-2.5513620376586914,5.545499205589294,0.026142654940485954,1.2391273975372314,3.1844173669815063,0.04348304495215416,1.6694235801696777,4.7007558941841125,0.026043491438031197
8,1.2098345756530762,3.4597949385643005,0.023770101368427277,4.224492102861404,0.990070104598999,0.03669340908527374,1.3586316108703613,1.429553508758545,0.022144868969917297,1.0289626121520996,0.6698622703552246,0.042836014181375504,1.7407197952270508,1.6389727592468262,0.04696639999747276,1.1813960075378418,5.789307236671448,0.019584840163588524,1.2436223030090332,1.8189737796783447,0.1236967071890831,1.4230241775512695,1.9729597568511963,0.06439390033483505,3.2563167810440063,4.560387849807739,0.028545869514346123,-2.551362991333008,5.5452669858932495,0.026142654940485954,1.2344508171081543,3.183668553829193,0.04348304495215416,1.669867992401123,4.704998552799225,0.026043491438031197
