scorer,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000,DLC_resnet50_MQ_runing_mergeDec30shuffle4_1030000
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,b4,b4,b4,b5,b5,b5,b6,b6,b6,b7,b7,b7,b8,b8,b8,lhoof,lhoof,lhoof,rhoof,rhoof,rhoof,hind_lhoof,hind_lhoof,hind_lhoof,hind_rhoof,hind_rhoof,hind_rhoof
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1.0021522045135498,3.343962848186493,0.023320302367210388,4.552043557167053,0.7230465412139893,0.03585906699299812,1.4486274719238281,1.1496152877807617,0.021143579855561256,1.0245425701141357,0.6796138286590576,0.046594925224781036,72.68299555778503,721.7526178359985,0.17681902647018433,70.79848909378052,756.4374088943005,0.16385450959205627,114.30248284339905,712.105544090271,0.722369372844696,131.44011837244034,727.1184709072113,0.3700409531593323,91.66993728280067,767.8511254787445,0.05903363600373268,59.57323306798935,767.6416983604431,0.04466930776834488,1.153843641281128,2.9920178651809692,0.04562877118587494,1.5472290515899658,4.632408261299133,0.027996260672807693
1,1.0021522045135498,3.343962848186493,0.023320302367210388,4.552043557167053,0.7230465412139893,0.03585906699299812,1.4486274719238281,1.1496152877807617,0.021143579855561256,1.0245425701141357,0.6796138286590576,0.046594925224781036,72.86209058761597,721.7526178359985,0.22834515571594238,70.88966584205627,756.471839338541,0.21858680248260498,114.30248284339905,712.1117696762085,0.7577585577964783,131.48688006401062,727.2432000637054,0.43000632524490356,91.77060201764107,767.950160741806,0.07282467186450958,59.57323306798935,767.6687591075897,0.053762197494506836,1.153843641281128,2.9920178651809692,0.04562877118587494,1.5472290515899658,4.632408261299133,0.027996260672807693
2,1.0021522045135498,3.343962848186493,0.023320302367210388,4.552043557167053,0.7230465412139893,0.03585906699299812,1.4486274719238281,1.1496152877807617,0.021143579855561256,1.0245425701141357,0.6796138286590576,0.046594925224781036,72.97043704986572,721.8615074157715,0.16097454726696014,71.10022020339966,756.5066632032394,0.1644223928451538,114.36654579639435,712.122136592865,0.7387335896492004,131.48688006401062,727.278374671936,0.38720831274986267,92.00517935398966,767.9962651729584,0.06447483599185944,59.57867240905762,767.720148563385,0.04231574013829231,1.153843641281128,2.9920178651809692,0.04562877118587494,1.5472290515899658,4.632408261299133,0.027996260672807693
3,1.0021522045135498,3.3440937995910645,0.02331695146858692,4.55217981338501,0.7230465412139893,0.035854049026966095,1.4486274719238281,1.1498198509216309,0.021141333505511284,1.0249505043029785,0.6799607276916504,0.04659256339073181,72.97043704986572,721.7526178359985,0.219681516289711,71.10022020339966,756.471839338541,0.2776600122451782,114.36654579639435,712.122136592865,0.7580517530441284,131.48688006401062,727.2432000637054,0.40967193245887756,92.00517935398966,767.950160741806,0.07575498521327972,59.57867240905762,767.720148563385,0.05275867506861687,1.153843641281128,2.9920178651809692,0.0456247553229332,1.5472290515899658,4.632408261299133,0.027992861345410347
4,1.0021522045135498,3.3440937995910645,0.023341653868556023,4.55669778585434,0.7229180335998535,0.035634469240903854,1.4490621089935303,1.236696481704712,0.034179650247097015,1.0273480415344238,0.6860930919647217,0.04693512246012688,72.68299555778503,721.7406854629517,0.24123254418373108,71.41492748260498,756.471839338541,0.3435477018356323,114.40611696243286,712.3385977745056,0.8058284521102905,131.52775311470032,727.2432000637054,0.43021008372306824,91.77060201764107,767.950160741806,0.12107907235622406,59.486532509326935,767.6687591075897,0.06784940510988235,1.153843641281128,2.9916443824768066,0.04545027017593384,1.5472290515899658,4.632136106491089,0.027898162603378296
5,1.0200614929199219,3.3440937995910645,0.029221730306744576,4.725025534629822,0.7229180335998535,0.04129662737250328,96.7650260925293,681.3167548179626,0.02292698435485363,1.084657907485962,0.7211380004882812,0.04825787991285324,73.2281448841095,721.7406854629517,0.060076408088207245,72.24356317520142,751.0336203575134,0.024499429389834404,115.45253664255142,712.5335545539856,0.5169411897659302,132.52920228242874,727.278374671936,0.2182929813861847,88.75152897834778,765.171765089035,0.04047299176454544,59.486532509326935,767.5394201278687,0.04212675988674164,1.1539466381072998,2.9916443824768066,0.06543566286563873,1.5492517948150635,4.632136106491089,0.041206564754247665
6,1.0200614929199219,3.346247673034668,0.025763623416423798,4.725025534629822,0.7306289672851562,0.03732910752296448,96.7650260925293,681.3167548179626,0.030143801122903824,1.084657907485962,0.7211380004882812,0.09727128595113754,73.85421514511108,722.509382724762,0.05386004596948624,72.24356317520142,751.0336203575134,0.07176650315523148,115.45253664255142,712.5335545539856,0.5357758402824402,132.52920228242874,727.5746605396271,0.3347432613372803,88.75152897834778,765.171765089035,0.03469130024313927,-2.566274642944336,5.7558605670928955,0.03548920527100563,1.1507883071899414,2.988205909729004,0.05114110931754112,1.5608258247375488,4.639475882053375,0.030599718913435936
7,1.0200614929199219,3.352853000164032,0.02576257660984993,4.725025534629822,0.7409482002258301,0.14720268547534943,1.4303522109985352,1.236696481704712,0.1608213484287262,1.084657907485962,0.7211380004882812,0.35093963146209717,1.8818929195404053,1.6625807285308838,0.4953644275665283,71.3133327960968,751.0336203575134,0.39566120505332947,115.45253664255142,712.62078332901,0.738766610622406,132.52920228242874,727.7388248443604,0.6257760524749756,88.75152897834778,765.171765089035,0.12452670186758041,-2.566274642944336,5.668659448623657,0.31387612223625183,1.143697738647461,2.988296389579773,0.1661796122789383,1.5611069202423096,4.639475882053375,0.1570053994655609
8,1.005164384841919,3.352853000164032,0.02362477034330368,4.562308251857758,0.7409873008728027,0.0360540933907032,1.4303522109985352,1.1898722648620605,0.021108407527208328,1.06266450881958,0.6990575790405273,0.04723476245999336,1.8298125267028809,1.6480202674865723,0.0708526074886322,71.47748136520386,758.7724676132202,0.402077317237854,114.56633019447327,712.62078332901,0.7516615390777588,131.20774060487747,727.7388248443604,0.5157672166824341,93.15162193775177,769.4747004508972,0.5610269904136658,-2.566274642944336,5.613815665245056,0.030634621158242226,1.1429800987243652,2.988296389579773,0.04618850722908974,1.5608258247375488,4.639475882053375,0.028233276680111885
